experiment,generation,candidate,fitness,strategy,rounds,failure_count,failure_rate,total_score_mean,total_score_std,total_score_min,total_score_max,completed_tasks_mean,completed_tasks_std,completed_tasks_min,completed_tasks_max,total_tasks_mean,total_tasks_std,total_tasks_min,total_tasks_max,overdue_tasks_mean,overdue_tasks_std,overdue_tasks_min,overdue_tasks_max,timeout_rate_mean,timeout_rate_std,timeout_rate_min,timeout_rate_max,total_distance_mean,total_distance_std,total_distance_min,total_distance_max,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max
extreme_load,4,7,888.095,genetic_hyper_extra_training,2,0,0.0,730.035,119.085,610.95,849.12,219.5,3.5,216.0,223.0,486.0,0.0,486.0,486.0,291.5,1.5,290.0,293.0,0.5998,0.0031,0.5967,0.6029,3409.4,16.6,3392.8,3426.0,0.4516,0.0072,0.4444,0.4588
extreme_load,4,8,51.185,genetic_hyper_extra_training,2,0,0.0,-105.44,719.44,-824.88,614.0,217.5,5.5,212.0,223.0,486.0,0.0,486.0,486.0,295.5,7.5,288.0,303.0,0.608,0.0155,0.5926,0.6235,3404.3,11.4,3392.9,3415.7,0.4475,0.0113,0.4362,0.4588
extreme_load,5,1,888.095,genetic_hyper_extra_training,2,0,0.0,730.035,119.085,610.95,849.12,219.5,3.5,216.0,223.0,486.0,0.0,486.0,486.0,291.5,1.5,290.0,293.0,0.5998,0.0031,0.5967,0.6029,3409.4,16.6,3392.8,3426.0,0.4516,0.0072,0.4444,0.4588
extreme_load,5,2,784.695,genetic_hyper_extra_training,2,0,0.0,627.335,131.235,496.1,758.57,218.5,3.5,215.0,222.0,486.0,0.0,486.0,486.0,290.0,2.0,288.0,292.0,0.5967,0.0041,0.5926,0.6008,3424.35,19.75,3404.6,3444.1,0.4496,0.0072,0.4424,0.4568
extreme_load,5,3,1329.415,genetic_hyper_extra_training,2,0,0.0,1172.755,1559.315,-386.56,2732.07,217.5,4.5,213.0,222.0,486.0,0.0,486.0,486.0,291.5,7.5,284.0,299.0,0.5998,0.0154,0.5844,0.6152,3422.45,34.15,3388.3,3456.6,0.4476,0.0092,0.4383,0.4568
extreme_load,5,4,51.185,genetic_hyper_extra_training,2,0,0.0,-105.44,719.44,-824.88,614.0,217.5,5.5,212.0,223.0,486.0,0.0,486.0,486.0,295.5,7.5,288.0,303.0,0.608,0.0155,0.5926,0.6235,3404.3,11.4,3392.9,3415.7,0.4475,0.0113,0.4362,0.4588
extreme_load,5,5,784.695,genetic_hyper_extra_training,2,0,0.0,627.335,131.235,496.1,758.57,218.5,3.5,215.0,222.0,486.0,0.0,486.0,486.0,290.0,2.0,288.0,292.0,0.5967,0.0041,0.5926,0.6008,3424.35,19.75,3404.6,3444.1,0.4496,0.0072,0.4424,0.4568
extreme_load,5,6,-61.215,genetic_hyper_extra_training,2,0,0.0,-218.575,832.575,-1051.15,614.0,218.5,4.5,214.0,223.0,486.0,0.0,486.0,486.0,293.0,5.0,288.0,298.0,0.6029,0.0103,0.5926,0.6132,3410.3,17.4,3392.9,3427.7,0.4496,0.0092,0.4403,0.4588
extreme_load,5,7,888.095,genetic_hyper_extra_training,2,0,0.0,730.035,119.085,610.95,849.12,219.5,3.5,216.0,223.0,486.0,0.0,486.0,486.0,291.5,1.5,290.0,293.0,0.5998,0.0031,0.5967,0.6029,3409.4,16.6,3392.8,3426.0,0.4516,0.0072,0.4444,0.4588
extreme_load,5,8,563.92,genetic_hyper_extra_training,2,0,0.0,408.73,205.27,203.46,614.0,215.5,7.5,208.0,223.0,486.0,0.0,486.0,486.0,292.5,4.5,288.0,297.0,0.6018,0.0092,0.5926,0.6111,3423.6,30.7,3392.9,3454.3,0.4434,0.0154,0.428,0.4588
