stage,episode,seed,episode_reward,total_score,completed_tasks,overdue_tasks,timeout_rate,total_distance,simulation_failed,steps,actor_loss,critic_loss,entropy
medium,102,20260504,4511.974,4440.95,153,40,0.2469,3158.2,False,800,-1.7e-05,4279.928245,0.010565
medium,103,20260505,5774.6937,5730.42,159,29,0.179,2935.2,False,800,-9.5e-05,5035.082063,0.014175
medium,104,20260506,-528.1339,-590.25,150,81,0.5,3013.0,False,800,-7.3e-05,6019.006562,0.014538
medium,105,20260507,7001.9335,6924.17,151,20,0.1235,3055.2,False,800,-0.000197,4303.894211,0.011823
medium,106,20260508,4622.003,4569.71,148,43,0.2654,3016.3,False,800,-0.000137,3427.986786,0.012252
medium,107,20260509,8090.3456,8044.0,159,12,0.0741,3017.7,False,800,-1.7e-05,6711.423313,0.009876
medium,108,20260510,5350.9435,5335.31,145,39,0.2407,2978.5,False,800,-0.000151,3027.497316,0.012455
medium,109,20260511,2928.5462,2872.31,151,52,0.321,3085.8,False,800,-0.000127,8684.893945,0.008838
medium,110,20260512,8662.4576,8633.24,158,6,0.037,2990.4,False,800,-0.000188,3385.343533,0.008671
medium,111,20260513,5917.6028,5854.82,153,31,0.1914,3017.4,False,800,-0.000256,5080.248218,0.006681
medium,112,20260514,7489.0773,7456.98,157,24,0.1481,2991.7,False,800,-1.8e-05,5271.864607,0.008637
medium,113,20260515,6145.5805,6104.27,147,35,0.216,3014.0,False,800,-9.2e-05,3648.632576,0.006473
medium,114,20260516,3382.5802,3349.44,149,49,0.3025,3109.0,False,800,1.9e-05,6367.961396,0.0063
medium,115,20260517,2686.6013,2660.49,148,62,0.3827,3040.8,False,800,-8e-05,4685.537109,0.006979
medium,116,20260518,-2565.5917,-2603.09,146,101,0.6235,3073.3,False,800,-0.000392,5888.161594,0.009644
medium,117,20260519,6860.878,6845.94,155,19,0.1173,3063.5,False,800,6.7e-05,4707.739133,0.006031
medium,118,20260520,3307.2018,3248.43,146,52,0.321,3083.9,False,800,6.2e-05,4375.123689,0.007317
medium,119,20260521,6661.605,6668.0,154,24,0.1481,3002.7,False,800,-4.1e-05,4033.7225,0.003779
medium,120,20260522,6669.1161,6626.37,156,20,0.1235,3070.1,False,800,-7.4e-05,3731.096619,0.003215
medium,121,20260523,6280.4319,6217.1,154,22,0.1358,3080.2,False,800,-6.7e-05,6229.025479,0.003513
