tick,scale_name,candidate_task_count,candidate_vehicle_count,iteration_count,planning_time_ms,initial_score,best_score,score_improvement,initial_distance,best_distance,initial_lateness,best_lateness,initial_unassigned,best_unassigned,accepted_count,best_destroy,best_repair,destroy_weights,repair_weights
395,large,9,1,120,0.05,-72.0,-72.0,0.0,0.0,0.0,0.0,0.0,9,9,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
396,large,9,1,120,2.32,-51.48,-51.48,0.0,26.4,26.4,0.0,0.0,8,8,120,,,"[2.1, 2.9, 2.2, 2.8]","[2.1, 2.2, 2.9, 2.8]"
402,large,10,2,120,4.07,-33.47,-33.47,0.0,41.4,41.4,0.0,0.0,8,8,120,,,"[2.65, 3.2, 2.05, 2.1]","[2.25, 2.25, 2.65, 2.85]"
404,large,8,1,120,0.13,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,8,8,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
405,large,8,1,120,0.09,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,8,8,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
406,large,8,2,120,2.68,-40.79,-40.79,0.0,9.6,9.6,0.0,0.0,7,7,120,,,"[2.8, 2.35, 2.1, 2.75]","[2.15, 2.6, 2.6, 2.65]"
407,large,7,1,120,0.04,-56.0,-56.0,0.0,0.0,0.0,0.0,0.0,7,7,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
408,large,8,2,120,0.05,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,8,8,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
409,large,8,2,120,0.05,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,8,8,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
410,large,8,2,120,0.05,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,8,8,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
411,large,8,2,120,4.71,-44.03,-44.03,0.0,17.4,17.4,0.0,0.0,7,7,120,,,"[2.6, 3.05, 2.1, 2.25]","[2.15, 2.55, 2.85, 2.45]"
412,large,7,1,120,0.04,-56.0,-56.0,0.0,0.0,0.0,0.0,0.0,7,7,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
413,large,7,1,120,0.04,-56.0,-56.0,0.0,0.0,0.0,0.0,0.0,7,7,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
414,large,7,1,120,0.04,-56.0,-56.0,0.0,0.0,0.0,0.0,0.0,7,7,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
