run_tag,window_index,tick_end,state,dispatch_action,charge_action,reward,completed_delta,overdue_delta,distance_delta,q_dispatch_before,q_dispatch_after,q_charge_before,q_charge_after,vehicle_count
38795988,45,900,2|4|2|0|0|2,dispatch_bundle_first,charge_task_first,-0.444,6,1,172.2,0.0,-0.111,0.0,-0.111,15
38795988,46,920,2|4|2|0|0|2,dispatch_energy_safe,charge_balanced,-3.44,6,2,172.0,0.0,-0.86,0.0,-0.86,15
38795988,47,940,2|4|2|0|0|2,dispatch_balanced,charge_proactive,-11.028,5,4,201.4,0.0,-2.757,0.0,-2.757,15
38795988,48,960,2|4|2|0|0|2,dispatch_urgent_first,charge_task_first,-13.862,5,5,193.1,0.0,-3.4655,-0.111,-3.572338,15
38795988,49,980,2|4|2|0|0|2,dispatch_bundle_first,charge_balanced,1.94,6,0,203.0,-0.111,0.40175,-0.86,-0.16,15
38795988,50,1000,2|4|1|0|0|2,dispatch_balanced,charge_balanced,1.712,6,0,214.4,0.0,0.428,0.0,0.428,15
38795988,51,1020,2|4|1|0|0|2,dispatch_balanced,charge_balanced,-0.49,6,1,174.5,0.428,0.1985,0.428,0.1985,15
38795988,52,1040,1|4|1|0|0|2,dispatch_bundle_first,charge_task_first,-5.89,4,2,194.5,0.0,-1.430319,0.0,-1.430319,15
38795988,53,1060,2|4|1|0|0|2,dispatch_balanced,charge_balanced,-1.924,8,2,196.2,0.1985,-0.289944,0.1985,-0.289944,15
38795988,54,1080,2|4|1|0|0|2,dispatch_urgent_first,charge_proactive,-2.518,4,1,175.9,0.0,-0.6295,0.0,-0.6295,15
38795988,55,1100,2|4|1|0|0|2,dispatch_bundle_first,charge_task_first,0.094,7,1,195.3,0.0,0.0235,0.0,0.0235,15
38795988,56,1120,2|4|1|0|0|2,dispatch_bundle_first,charge_task_first,-4.51,8,3,175.5,0.0235,-1.104881,0.0235,-1.104881,15
38795988,57,1140,2|4|1|0|0|2,dispatch_energy_safe,charge_balanced,-3.95,5,2,147.5,0.0,-0.9875,-0.289944,-1.266571,15
38795988,58,1160,2|4|1|0|0|2,dispatch_urgent_first,charge_proactive,-0.64,6,1,182.0,-0.6295,-0.632125,-0.6295,-0.632125,15
38795988,59,1180,1|4|1|0|0|2,dispatch_energy_safe,charge_balanced,0.044,4,0,197.8,0.0,0.011,0.0,0.011,15
38795988,60,1200,1|4|1|0|0|2,dispatch_energy_safe,charge_balanced,2.766,9,1,161.7,0.011,0.702087,0.011,0.702087,15
38795988,61,1220,1|4|1|0|0|2,dispatch_energy_safe,charge_balanced,-4.872,1,1,143.6,0.702087,-0.542241,0.702087,-0.542241,15
38795988,62,1240,1|4|1|0|0|2,dispatch_urgent_first,charge_proactive,-3.596,3,1,179.8,0.0,-0.899,0.0,-0.899,15
38795988,63,1260,1|4|1|0|0|2,dispatch_balanced,charge_balanced,2.206,9,1,189.7,0.0,0.5515,-0.542241,0.144819,15
38795988,64,1280,0|4|1|0|0|2,dispatch_energy_safe,charge_task_first,-5.81,1,1,190.5,0.0,-1.4525,0.0,-1.4525,15
